"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
1,"HH",-0.846075137077368,NA,0.0235323064458169,NA,0,0,NA,NA,0.350814354360136,NA,1
1,"HH-ANT",-1.09136080917341,-0.406979736349056,0.0279932461139514,0.0256422146314772,0,0,0,0,0.406330544777123,NA,1
1,"ETI",0.131618976168669,NA,0.0314963828000394,NA,100,0,NA,NA,0.11406985579347,NA,1
1,"ETI-ANT",0.166337835012298,0.0335753588588375,0.0405262504969837,0.0247684356469365,100,0,100,100,0.113385788439308,NA,1
1,"TEH",0.130007618850762,NA,0.359140150144624,NA,100,100,NA,NA,0.114144860796106,1.01189204497598,1
1,"TEH-ANT",0.163886818136595,0.0327584123453295,0.362278491448091,0.02476457109476,100,100,100,100,0.113432928164263,1.01825572322142,1
2,"HH",-0.856020651021864,NA,0.0235616778960873,NA,0,0,NA,NA,0.317440856851515,NA,1
2,"HH-ANT",-1.1417255548173,-0.473600907699928,0.0279957534742236,0.0256558528921134,0,0,0,0,0.38245140937534,NA,1
2,"ETI",0.142023642177144,NA,0.0326221089273042,NA,100,0,NA,NA,0.148473369857035,NA,1
2,"ETI-ANT",0.096126846860301,-0.0415020264441561,0.0429613885666041,0.0253922919365047,100,0,100,100,0.147241318464774,NA,1
2,"TEH",0.140246388426484,NA,0.362039977506445,NA,100,100,NA,NA,0.148367290504118,1.01984441212438,1
2,"TEH-ANT",0.0933312621307218,-0.0424483974377479,0.359934194426677,0.0253847792570727,100,100,100,100,0.147160876886259,1.01078444235558,1
3,"HH",-0.839487390000572,NA,0.0235553758429833,NA,0,0,NA,NA,0.312190946867347,NA,1
3,"HH-ANT",-1.10147798229576,-0.434271288858777,0.0280106950327836,0.0256755983772426,0,0,0,0,0.371502363645805,NA,1
3,"ETI",0.0875672687056363,NA,0.0322600449040017,NA,100,0,NA,NA,0.133903607355506,NA,1
3,"ETI-ANT",0.0546038515910454,-0.0305575614212433,0.0421969307158125,0.0252104332884976,100,100,100,100,0.133982465278823,NA,1
3,"TEH",0.0859097887577577,NA,0.354572935196635,NA,100,100,NA,NA,0.133862214063262,0.998730227746,1
3,"TEH-ANT",0.0520095395869676,-0.0314358384897621,0.353161496854275,0.0252042298826641,100,100,100,100,0.133980874979526,0.991748757382763,0
4,"HH",-0.829227437861107,NA,0.0236429484481026,NA,0,0,NA,NA,0.335734339609886,NA,1
4,"HH-ANT",-1.09883679163805,-0.447649697217473,0.0281037140750416,0.0257496368141156,0,0,0,0,0.394255286719018,NA,1
4,"ETI",0.205272523194427,NA,0.0327065202800862,NA,0,0,NA,NA,0.146121089193781,NA,1
4,"ETI-ANT",0.216421743432237,0.0100042904627314,0.0431166416328358,0.0255016802241998,0,0,100,100,0.146986359238541,NA,1
4,"TEH",0.203453514797933,NA,0.36698998275771,NA,100,100,NA,NA,0.146015107981505,1.03388007214769,1
4,"TEH-ANT",0.213497155221525,0.00901692753597699,0.368780720640252,0.0254930538130208,100,100,100,100,0.146804566270624,1.03593143721143,1
5,"HH",-0.839430039121233,NA,0.0234484313880942,NA,0,0,NA,NA,0.369205239444708,NA,1
5,"HH-ANT",-1.10770597620683,-0.44551682624124,0.0278696383388914,0.0255194163195184,0,0,0,0,0.428644777400757,NA,1
5,"ETI",0.148971404856886,NA,0.0322686380563118,NA,100,0,NA,NA,0.135083059692748,NA,1
5,"ETI-ANT",0.139589819421489,-0.00856785417946305,0.0422821128962194,0.0252184438982221,100,0,100,100,0.135762572342212,NA,1
5,"TEH",0.147187251016091,NA,0.354355646718586,NA,100,100,NA,NA,0.135196642178818,0.998109728987961,1
5,"TEH-ANT",0.136759962526477,-0.00952190155050529,0.354697541313346,0.0252150360613141,100,100,100,100,0.135941755304935,0.996091725700532,1
