"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1201,"HH",-0.0146897013858182,NA,0.0202474698162851,NA,100,100,NA,0.126759531293022,1
1201,"HH-ANT",-0.0206573672119848,-0.0104615014810549,0.0239492404212027,0.0224235647388048,100,100,100,0.126854154975574,1
1202,"HH",0.0133592267536714,NA,0.0205590880459726,NA,100,100,NA,0.168639730019912,1
1202,"HH-ANT",-0.00198778229857112,-0.0262959461308213,0.0244133164666128,0.0226272837995047,100,100,100,0.167816652865124,1
1203,"HH",0.0315708352492621,NA,0.0199907932860855,NA,100,100,NA,0.118024865241459,1
1203,"HH-ANT",0.0443779136632009,0.0225879780275181,0.0236142625627378,0.0221783119131952,100,100,100,0.117898916087375,1
1204,"HH",-0.015280792250783,NA,0.0199178803483954,NA,100,100,NA,0.116143267203929,1
1204,"HH-ANT",-0.0140683805693579,0.00214032906170769,0.0235247999709257,0.0221075108385435,100,100,100,0.116197988902559,1
1205,"HH",0.0206320385500462,NA,0.0203612513578141,NA,100,100,NA,0.161777658128873,1
1205,"HH-ANT",0.00918474412657368,-0.0196665787467621,0.0241706727730215,0.0224229258715871,100,100,100,0.16128900458651,1
1206,"HH",0.0131325292495386,NA,0.0203164953971594,NA,100,100,NA,0.136618063932308,1
1206,"HH-ANT",0.0215659070743994,0.0146877891856887,0.0240623004062147,0.0224561758805729,100,100,100,0.136750318182136,1
1207,"HH",0.0234664303211069,NA,0.0199180910509315,NA,100,100,NA,0.0984271169643425,1
1207,"HH-ANT",0.0346557860939862,0.0199700545169674,0.0234454475966293,0.0222551231792348,100,100,100,0.0992455077767618,1
1208,"HH",-0.0139149943685681,NA,0.0201461565505455,NA,100,100,NA,0.134552252896333,1
1208,"HH-ANT",-0.00740319443930446,0.0113024050514823,0.023852816248291,0.0222705678872651,100,100,100,0.134186979903625,1
1209,"HH",0.0312466589109106,NA,0.0203874005651728,NA,100,100,NA,0.171659419328578,1
1209,"HH-ANT",0.0278444516281472,-0.00581856041477965,0.024223221306429,0.0224303974065766,100,100,100,0.171876309898049,1
1210,"HH",-0.00693729844754847,NA,0.0203684262972691,NA,100,100,NA,0.156208507202423,1
1210,"HH-ANT",-0.0119272515227099,-0.0086050387394172,0.0241708117282718,0.0224468702624754,100,100,100,0.156149878695132,1
1211,"HH",-0.00759886412236524,NA,0.0202385320883091,NA,100,100,NA,0.143512991664524,1
1211,"HH-ANT",0.00138971820424426,0.0155893665677052,0.023990386276543,0.0223411909999999,100,100,100,0.143619544258773,1
1212,"HH",0.0308202605979515,NA,0.0200810223715867,NA,100,100,NA,0.116992415038515,1
1212,"HH-ANT",0.0248973131397283,-0.0104125511207909,0.023721217567789,0.0222902517347143,100,100,100,0.117340688619653,1
1213,"HH",-0.00484612973660516,NA,0.0204251018311854,NA,100,100,NA,0.150080743904865,1
1213,"HH-ANT",0.026465924487848,0.0541397458644014,0.0242263455138756,0.022528299658814,100,100,0,0.150701840087817,1
1214,"HH",0.00541883344408316,NA,0.0203937784862988,NA,100,100,NA,0.15419133679441,1
1214,"HH-ANT",-0.00389756545748336,-0.0160814444695871,0.0241974340456045,0.0224814349337293,100,100,100,0.154335287105975,1
1215,"HH",-0.0179529455585545,NA,0.0201662764416461,NA,100,100,NA,0.13475493532411,1
1215,"HH-ANT",-0.0338854857410031,-0.0277699383968328,0.0238804792930283,0.022293084016233,100,100,100,0.134797591404718,1
1216,"HH",0.00184792516684675,NA,0.0202850159272212,NA,100,100,NA,0.14691194467203,1
1216,"HH-ANT",-0.00956908950552724,-0.0196959660304919,0.024057788776254,0.0223829392675381,100,100,100,0.147602165397751,1
1217,"HH",-0.0353134626461281,NA,0.0202956149616125,NA,100,100,NA,0.148351994835369,1
1217,"HH-ANT",-0.0407851158520829,-0.00940893724537663,0.0240718492322631,0.0223898207047992,100,100,100,0.148795354253081,1
1218,"HH",-0.0274039044011031,NA,0.0201206181421957,NA,100,100,NA,0.1249205861376,1
1218,"HH-ANT",-0.0255482313775309,0.0032568930220348,0.023794632625393,0.0222884087470086,100,100,100,0.124949259046103,1
1219,"HH",0.00517453454700416,NA,0.0205497858265058,NA,100,100,NA,0.161322408825534,1
1219,"HH-ANT",0.0164692199525155,0.0193108557887315,0.0244002207504498,0.0226380510344132,100,100,100,0.162330258565264,1
1220,"HH",0.00258040634772177,NA,0.0203846094691615,NA,100,100,NA,0.149239369051315,1
1220,"HH-ANT",0.0150953772928127,0.021632476502655,0.0241710163219212,0.0224852419725898,100,100,100,0.148836911675577,1
1221,"HH",0.00659130706151529,NA,0.020291771873016,NA,100,100,NA,0.12714220176007,1
1221,"HH-ANT",0.0106601818801646,0.00712965159084156,0.0240022091846935,0.0224721656749263,100,100,100,0.127248656655109,1
1222,"HH",-0.0447376712781225,NA,0.0201968387101864,NA,0,0,NA,0.135568850192547,1
1222,"HH-ANT",-0.0526605011046227,-0.0137391046096199,0.0239137808979929,0.0223234051881705,0,0,100,0.135091557686814,1
1223,"HH",0.00829739643285833,NA,0.0203453942708479,NA,100,100,NA,0.143005447351063,1
1223,"HH-ANT",0.0141338390122737,0.0101273838696247,0.0241121780758534,0.022463425563007,100,100,100,0.142922189752732,1
1224,"HH",-0.022688557977408,NA,0.0203987719192966,NA,100,100,NA,0.137837889150069,1
1224,"HH-ANT",-0.0390889217465747,-0.0285584762432788,0.0241601128961102,0.0225435991316787,100,100,100,0.137853157178858,1
1225,"HH",0.0141298473705103,NA,0.0202465999915941,NA,100,100,NA,0.154170640272652,1
1225,"HH-ANT",0.014778919702202,0.00111333867713112,0.0240248663655903,0.022316060569516,100,100,100,0.154243606256035,1
1226,"HH",0.00933202558172629,NA,0.0202985332533613,NA,100,100,NA,0.143352969553986,1
1226,"HH-ANT",0.00452215445012436,-0.00825382192656072,0.0240634710829472,0.0224105236933458,100,100,100,0.143848634202813,1
1227,"HH",0.0350458407692426,NA,0.0199614904227444,NA,100,100,NA,0.106589771157877,1
1227,"HH-ANT",0.0375939139783213,0.00454696773691675,0.0235282254890536,0.0222267758799492,100,100,100,0.106653037440561,1
1228,"HH",-0.00453000742064291,NA,0.0204007126075413,NA,100,100,NA,0.151800820315638,1
1228,"HH-ANT",-0.00230113267867861,0.00385156625844366,0.024199776507318,0.0224965057122273,100,100,100,0.151857073203159,1
1229,"HH",-0.0196920148989643,NA,0.0203391025055251,NA,100,100,NA,0.139660709357128,1
1229,"HH-ANT",-0.0452560365402532,-0.0443382742838344,0.0240828276726541,0.0224647004118355,100,100,0,0.138389222953245,1
1230,"HH",-0.01635913753855,NA,0.0203033090139787,NA,100,100,NA,0.142948707321135,1
1230,"HH-ANT",-0.0342539039462767,-0.0309906739288366,0.0240559853728828,0.022413826142568,100,100,100,0.142152422742005,1
1231,"HH",-0.0248915696844193,NA,0.0200158189734604,NA,100,100,NA,0.122760970172306,1
1231,"HH-ANT",-0.0163239688769467,0.0150482605451011,0.0236629588498178,0.0221797985869352,100,100,100,0.122644295818169,1
1232,"HH",-0.00521109876695316,NA,0.0202764320338706,NA,100,100,NA,0.143721581228657,1
1232,"HH-ANT",0.00381845822829221,0.0156599039181328,0.0240333109341885,0.0223827722981787,100,100,100,0.143613265446724,1
1233,"HH",0.00433178427087243,NA,0.0201515118060808,NA,100,100,NA,0.113200108959966,1
1233,"HH-ANT",0.0319127534849968,0.0489042508584432,0.0237694017178373,0.0223913990606375,100,100,0,0.112655379637218,1
1234,"HH",0.0228067848387808,NA,0.0205287643117553,NA,100,100,NA,0.176520908267557,1
1234,"HH-ANT",0.00486234521283634,-0.0307349384646993,0.02439375222575,0.0225769669596047,100,100,100,0.176252865300863,1
1235,"HH",0.018215234209319,NA,0.0202598230478316,NA,100,100,NA,0.16156892892133,1
1235,"HH-ANT",0.0232764805579768,0.00870319449112277,0.0240555535148606,0.0223109369236323,100,100,100,0.161710073010749,1
1236,"HH",-0.0266663448930786,NA,0.0201617779108399,NA,100,100,NA,0.136450278824776,1
1236,"HH-ANT",-0.0249758617211946,0.00294109177743392,0.0238811808044674,0.0222815413303512,100,100,100,0.13651723027303,1
1237,"HH",-0.00373681440821346,NA,0.0200986809841923,NA,100,100,NA,0.131243832313916,1
1237,"HH-ANT",0.00594119102048261,0.0168591357394368,0.0237954514687144,0.0222333167075901,100,100,100,0.131688128223292,1
1238,"HH",-0.0270034187298723,NA,0.0204541246883027,NA,100,100,NA,0.144918401689066,1
1238,"HH-ANT",-0.0238572771931513,0.00545563087744439,0.0242445371762127,0.0225794686673454,100,100,100,0.144879299487879,1
1239,"HH",0.0357325574978987,NA,0.020417981223012,NA,100,100,NA,0.150766674426974,1
1239,"HH-ANT",0.0352051992259423,-0.000911998713257453,0.0242174469561534,0.0225191695028202,100,100,100,0.150804047330856,1
1240,"HH",-0.0498068397572631,NA,0.0201172815025322,NA,0,0,NA,0.124331720424191,1
1240,"HH-ANT",-0.0379965286131479,0.0206511867407256,0.0237957339907979,0.0222893425955137,100,100,100,0.124965964989537,1
1241,"HH",0.00461788203814503,NA,0.0202481230886618,NA,100,100,NA,0.137808016410213,1
1241,"HH-ANT",0.00342763072937575,-0.00207159207617892,0.0239854256996351,0.0223737430015748,100,100,100,0.137844051270066,1
1242,"HH",0.0123380690949836,NA,0.0204267599861316,NA,100,100,NA,0.155100849362019,1
1242,"HH-ANT",0.0274859066028562,0.0261296259301176,0.0242392142041935,0.0225159235007228,100,100,100,0.155466298207609,1
1243,"HH",-0.0230377662208143,NA,0.0202921814856159,NA,100,100,NA,0.161542439611061,1
1243,"HH-ANT",-0.0245708462565518,-0.00262010416129369,0.0240935636922873,0.0223473628670457,100,100,100,0.161694846532114,1
1244,"HH",-0.0226983522140713,NA,0.0202004019172031,NA,100,100,NA,0.130180179809807,1
1244,"HH-ANT",-0.0398612583851331,-0.0299846726788068,0.0238996826258261,0.0223508456368932,100,100,100,0.129715486710974,1
1245,"HH",0.0499085089650242,NA,0.020299290720111,NA,0,0,NA,0.144001585228003,1
1245,"HH-ANT",0.0282965917503946,-0.0374693882951727,0.0240641327968531,0.0224078051218509,100,100,100,0.1444009425442,1
1246,"HH",-0.00109014617538431,NA,0.0200561304813862,NA,100,100,NA,0.109873296646702,1
1246,"HH-ANT",-0.0155880509963037,-0.0257817622824445,0.0236571605196638,0.0223105137735325,100,100,100,0.110118005456491,1
1247,"HH",-0.0111409222225578,NA,0.0202541011676682,NA,100,100,NA,0.135621254969664,1
1247,"HH-ANT",0.00151862619601773,0.0220585077975982,0.0239837798441455,0.0223887506583616,100,100,100,0.135486743901206,1
1248,"HH",0.004869406813079,NA,0.0200649029244315,NA,100,100,NA,0.118465681475109,1
1248,"HH-ANT",0.00776242515937234,0.00500736564734094,0.0237088075783908,0.0222625821101016,100,100,100,0.118809409776866,1
1249,"HH",-0.0214402416419636,NA,0.0203323068570228,NA,100,100,NA,0.137819764610622,1
1249,"HH-ANT",-0.0283011483783055,-0.0119357829097745,0.024081594781976,0.022468477276953,100,100,100,0.137670589318524,1
1250,"HH",-0.00524845726736875,NA,0.0202354658225884,NA,100,100,NA,0.161131468539178,1
1250,"HH-ANT",-0.0231110441891379,-0.0307327813442213,0.0240256261505701,0.022284098287629,100,100,100,0.161296727923462,1
1251,"HH",0.0164429363776188,NA,0.0196777241022834,NA,100,100,NA,0.0874214455192032,1
1251,"HH-ANT",0.0102284992080208,-0.0112464533481205,0.0230570842551383,0.0220956004670251,100,100,100,0.0869706268301674,1
1252,"HH",-0.00521718781866566,NA,0.0200067954399562,NA,100,100,NA,0.110384014585424,1
1252,"HH-ANT",0.010890432489215,0.028575170101041,0.0236078123924869,0.0222509083875936,100,100,100,0.110929779216297,1
1253,"HH",-0.00474723101709603,NA,0.02037152065011,NA,100,100,NA,0.146890817468952,1
1253,"HH-ANT",-0.0140992998404765,-0.0161749285118601,0.0241504234426728,0.0224785225459021,100,100,100,0.146538141615603,1
1254,"HH",0.0117841459259852,NA,0.0202718923297298,NA,100,100,NA,0.144058333311656,1
1254,"HH-ANT",0.0241771927084036,0.0214549990708116,0.0240254335665916,0.0223754421055969,100,100,100,0.143565184156509,1
1255,"HH",-0.00958572927957195,NA,0.0202759563620922,NA,100,100,NA,0.134612245488454,1
1255,"HH-ANT",-0.00575316930650966,0.00668384132616874,0.0240077926245246,0.0224185457511047,100,100,100,0.134612404136527,1
1256,"HH",-0.00244238648525511,NA,0.0203453973295996,NA,100,100,NA,0.139283754790046,1
1256,"HH-ANT",0.00167237508392725,0.00702498757626669,0.0241076516798925,0.0224791355055218,100,100,100,0.139818367883222,1
1257,"HH",0.031738527196632,NA,0.0203079665607352,NA,100,100,NA,0.170293684164911,1
1257,"HH-ANT",0.0413168586767357,0.0163720016455499,0.0241297881148857,0.0223449014504352,100,100,100,0.170936221239691,1
1258,"HH",-0.00934232322129428,NA,0.0202744219534706,NA,100,100,NA,0.136060351764731,1
1258,"HH-ANT",-0.00679999914942932,0.00439819509167722,0.024008750717933,0.0224101945213374,100,100,100,0.13588680339756,1
1259,"HH",-0.0160648628166732,NA,0.0202787536378177,NA,100,100,NA,0.147523912304464,1
1259,"HH-ANT",-0.0441542244692098,-0.0484137141188306,0.0240296302174492,0.0223670400941801,100,100,0,0.145643400337956,1
1260,"HH",0.00646489499709038,NA,0.0203215893888571,NA,100,100,NA,0.142466429525699,1
1260,"HH-ANT",0.00299702875558871,-0.00596687169183938,0.0240811935665501,0.0224380956774048,100,100,100,0.142177940517429,1
1261,"HH",0.00163323983133264,NA,0.0200196567386489,NA,100,100,NA,0.0991858140949315,1
1261,"HH-ANT",-0.00270671563917137,-0.0078019008746972,0.0235454929147769,0.0223607469394106,100,100,100,0.0990365181125138,1
1262,"HH",-0.00193230779014101,NA,0.0203879827100716,NA,100,100,NA,0.190907653483702,1
1262,"HH-ANT",0.00217069287575679,0.00699297798205399,0.0242491360569935,0.0223952781005394,100,100,100,0.190774489961139,1
1263,"HH",0.0133711624360894,NA,0.0201617525259998,NA,100,100,NA,0.12485424914255,1
1263,"HH-ANT",0.00196654189774931,-0.0200184180736312,0.0238415623794284,0.0223353305219725,100,100,100,0.124866126125133,1
1264,"HH",0.0284081310895365,NA,0.0201360133455308,NA,100,100,NA,0.125673733900109,1
