"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1,"HH",0.0659743144333985,NA,0.0200278406605949,NA,100,0,NA,0.113899226477682,1
1,"HH-ANT",0.0802759542256655,0.0252983502511257,0.0236336624669106,0.0222461671628019,100,0,100,0.113477658579525,1
2,"HH",0.0493172769827531,NA,0.0202861738792386,NA,100,0,NA,0.146439546298889,1
2,"HH-ANT",0.0236534077713272,-0.0444517215050091,0.0240487649051099,0.0223825973965675,100,100,0,0.146144688279446,1
3,"HH",0.0644960007474395,NA,0.0202332613740363,NA,100,0,NA,0.134754843266361,1
3,"HH-ANT",0.0606123279053434,-0.00676642885764617,0.0239578068241082,0.022369303737875,100,0,100,0.134680705694991,1
4,"HH",0.0772317078655592,NA,0.0203668705481187,NA,100,0,NA,0.143399665491595,1
4,"HH-ANT",0.0665808603297089,-0.0184811663330285,0.0241376434363138,0.0224859510748165,100,0,100,0.143264639750224,1
5,"HH",0.0736773325859846,NA,0.0202180235202891,NA,100,0,NA,0.135472764657492,1
5,"HH-ANT",0.0669159147407166,-0.0117461758668648,0.0239464960954867,0.0223499916100203,100,0,100,0.135826690343162,1
6,"HH",0.0365072092786891,NA,0.020356081961836,NA,100,100,NA,0.141012520247123,1
6,"HH-ANT",0.0434859484959074,0.0120593643630273,0.0241244585981321,0.0224842971085253,100,100,100,0.14151406299822,1
7,"HH",0.085003272411143,NA,0.0201913325815009,NA,100,0,NA,0.143485541965051,1
7,"HH-ANT",0.0993795563343331,0.0247604682927904,0.0239242592258417,0.0222849819096437,100,0,100,0.142349452739964,1
8,"HH",0.0123122558213242,NA,0.0200350125363567,NA,0,100,NA,0.115412049917503,1
8,"HH-ANT",0.00738428910546152,-0.00861498633899529,0.0236625766862713,0.0222480959799686,0,100,100,0.115854188686598,1
9,"HH",0.0882444556735838,NA,0.0203755628927249,NA,100,0,NA,0.13970727428868,1
9,"HH-ANT",0.0720649627584192,-0.0281131170987729,0.0241425903314142,0.0225108262176874,100,0,100,0.140153948869709,1
10,"HH",0.0478751627714251,NA,0.0203480347151871,NA,100,0,NA,0.144879507469786,1
10,"HH-ANT",0.0628320431157216,0.025859704835964,0.0241269066312341,0.0224610599204689,100,0,100,0.145644833343117,1
11,"HH",0.0601192791874717,NA,0.020144961748226,NA,100,0,NA,0.12949981696449,1
11,"HH-ANT",0.0628854028412572,0.00483645062910374,0.0238385642017036,0.0222929597001123,100,0,100,0.129473460423086,1
12,"HH",0.068407430467162,NA,0.0199444370068515,NA,100,0,NA,0.110904598464239,1
12,"HH-ANT",0.110791815764704,0.0741782250673347,0.0235851880536382,0.022184496073333,0,0,0,0.114649816389841,1
13,"HH",0.0512115950520996,NA,0.0202332370165439,NA,100,0,NA,0.156869360632948,1
13,"HH-ANT",0.0418034603010573,-0.0162138236517987,0.024013490047879,0.0222929384801424,100,100,100,0.156769821667372,1
